Time Date,voyage,company,Value
1012018,2667437,AutoPark,2926
2012018,2667437,AutoPark,2687.531
3012018,2667437,AutoPark,2793
4012018,2667437,AutoPark,2394
5012018,2667437,AutoPark,2660
6012018,2667437,AutoPark,2527
7012018,2667437,AutoPark,2527
8012018,2667437,AutoPark,2793
9012018,2667437,AutoPark,2793
10012018,2667437,AutoPark,2793
11012018,2667437,AutoPark,2926
12012018,2667437,AutoPark,2793
13012018,2667437,AutoPark,2869.8208
14012018,2667437,AutoPark,3325
15012018,2667437,AutoPark,2261
16012018,2667437,AutoPark,2261
17012018,2667437,AutoPark,2253.685
18012018,2667437,AutoPark,2394
19012018,2667437,AutoPark,2394
20012018,2667437,AutoPark,2394
21012018,2667437,AutoPark,2527
22012018,2667437,AutoPark,2793
23012018,2667437,AutoPark,2660
24012018,2667437,AutoPark,2547.1362
25012018,2667437,AutoPark,2926
26012018,2667437,AutoPark,2926
27012018,2667437,AutoPark,3059
28012018,2667437,AutoPark,2853.1027
29012018,2667437,AutoPark,2793
30012018,2667437,AutoPark,2793
31012018,2667437,AutoPark,2816.4745
1022018,2667437,AutoPark,2231.1548
2022018,2667437,AutoPark,5212.004
3022018,2667437,AutoPark,5032.853
4022018,2667437,AutoPark,2253.685
5022018,2667437,AutoPark,2261
6022018,2667437,AutoPark,2261
7022018,2667437,AutoPark,2253.685
8022018,2667437,AutoPark,2253.685
9022018,2667437,AutoPark,2394
10022018,2667437,AutoPark,2527
11022018,2667437,AutoPark,2380.1148
12022018,2667437,AutoPark,2660
13022018,2667437,AutoPark,2380.1148
14022018,2667437,AutoPark,2793
15022018,2667437,AutoPark,3059
16022018,2667437,AutoPark,3040.0076
17022018,2667437,AutoPark,2926
18022018,2667437,AutoPark,2926
19022018,2667437,AutoPark,2660
20022018,2667437,AutoPark,2793
21022018,2667437,AutoPark,2510.7208
22022018,2667437,AutoPark,5105.0587
23022018,2667437,AutoPark,3667.6346
24022018,2667437,AutoPark,2300.0488
25022018,2667437,AutoPark,2775.3642
26022018,2667437,AutoPark,2582.062
27022018,2667437,AutoPark,2527
28022018,2667437,AutoPark,2394
1032018,2667437,AutoPark,2793
2032018,2667437,AutoPark,2793
3032018,2667437,AutoPark,2793
4032018,2667437,AutoPark,3021.0152
5032018,2667437,AutoPark,4752.09
6032018,2667437,AutoPark,2082.514
7032018,2667437,AutoPark,2042.8135
8032018,2667437,AutoPark,2201.6022
9032018,2667437,AutoPark,2246.0774
10032018,2667437,AutoPark,2171.757
11032018,2667437,AutoPark,2042.8135
12032018,2667437,AutoPark,2261
13032018,2667437,AutoPark,2231.1548
14032018,2667437,AutoPark,2386.3525
15032018,2667437,AutoPark,2394
16032018,2667437,AutoPark,2394
17032018,2667437,AutoPark,2527
18032018,2667437,AutoPark,2527
19032018,2667437,AutoPark,2660
20032018,2667437,AutoPark,2660
21032018,2667437,AutoPark,5042.961
22032018,2667437,AutoPark,2176.5051
23032018,2667437,AutoPark,2331.9023
24032018,2667437,AutoPark,2527
25032018,2667437,AutoPark,2261
26032018,2667437,AutoPark,2519.02
27032018,2667437,AutoPark,4927.5968
28032018,2667437,AutoPark,2784.355
29032018,2667437,AutoPark,2394
30032018,2667437,AutoPark,2527
31032018,2667437,AutoPark,2527
1042018,2667437,AutoPark,2331.9023
2042018,2667437,AutoPark,2527
3042018,2667437,AutoPark,2378.3991
4042018,2667437,AutoPark,2142.2044
5042018,2667437,AutoPark,2201.6022
6042018,2667437,AutoPark,2231.1548
7042018,2667437,AutoPark,2253.685
8042018,2667437,AutoPark,2261
9042018,2667437,AutoPark,2261
10042018,2667437,AutoPark,2238.7624
11042018,2667437,AutoPark,2261
12042018,2667437,AutoPark,2394
13042018,2667437,AutoPark,2261
14042018,2667437,AutoPark,2253.685
15042018,2667437,AutoPark,2394
16042018,2667437,AutoPark,2261
17042018,2667437,AutoPark,2261
18042018,2667437,AutoPark,5204.7023
19042018,2667437,AutoPark,2128
20042018,2667437,AutoPark,2171.757
21042018,2667437,AutoPark,2128
22042018,2667437,AutoPark,2128
23042018,2667437,AutoPark,2128
24042018,2667437,AutoPark,2128
25042018,2667437,AutoPark,2128
26042018,2667437,AutoPark,2261
27042018,2667437,AutoPark,2261
28042018,2667437,AutoPark,5187
29042018,2667437,AutoPark,5187
30042018,2667437,AutoPark,5187
1052018,2667437,AutoPark,5306.434
2052018,2667437,AutoPark,2121.0175
3052018,2667437,AutoPark,5320
4052018,2667437,AutoPark,2128
5052018,2667437,AutoPark,2128
6052018,2667437,AutoPark,5320
7052018,2667437,AutoPark,5110.658
8052018,2667437,AutoPark,5238.87
9052018,2667437,AutoPark,2261
10052018,2667437,AutoPark,5187
11052018,2667437,AutoPark,5054
12052018,2667437,AutoPark,4921
13052018,2667437,AutoPark,4788
14052018,2667437,AutoPark,4921
15052018,2667437,AutoPark,4921
16052018,2667437,AutoPark,4921
17052018,2667437,AutoPark,4921
18052018,2667437,AutoPark,5054
19052018,2667437,AutoPark,4921
20052018,2667437,AutoPark,5054
21052018,2667437,AutoPark,4788
22052018,2667437,AutoPark,4788
23052018,2667437,AutoPark,4921
24052018,2667437,AutoPark,5054
25052018,2667437,AutoPark,5054
26052018,2667437,AutoPark,5054
27052018,2667437,AutoPark,5005.4018
28052018,2667437,AutoPark,4783.079
29052018,2667437,AutoPark,5054
30052018,2667437,AutoPark,5048.015
31052018,2667437,AutoPark,4522
1062018,2667437,AutoPark,4522
2062018,2667437,AutoPark,4522
3062018,2667437,AutoPark,4921
4062018,2667437,AutoPark,4788
5062018,2667437,AutoPark,4788
6062018,2667437,AutoPark,4788
7062018,2667437,AutoPark,4743.0593
8062018,2667437,AutoPark,4897.9378
9062018,2667437,AutoPark,5054
10062018,2667437,AutoPark,4915.3475
11062018,2667437,AutoPark,4788
12062018,2667437,AutoPark,4522
13062018,2667437,AutoPark,4921
14062018,2667437,AutoPark,5054
15062018,2667437,AutoPark,4921
16062018,2667437,AutoPark,4522
17062018,2667437,AutoPark,4522
18062018,2667437,AutoPark,4389
19062018,2667437,AutoPark,4389
20062018,2667437,AutoPark,4380.1821
21062018,2667437,AutoPark,4517.345
22062018,2667437,AutoPark,4788
23062018,2667437,AutoPark,4522
24062018,2667437,AutoPark,4522
25062018,2667437,AutoPark,4788
26062018,2667437,AutoPark,4909.4689
27062018,2667437,AutoPark,4723.096
28062018,2667437,AutoPark,4921
29062018,2667437,AutoPark,4389
30062018,2667437,AutoPark,4788
1072018,2667437,AutoPark,5048.015
2072018,2667437,AutoPark,5048.015
3072018,2667437,AutoPark,4921
4072018,2667437,AutoPark,5054
5072018,2667437,AutoPark,4980.983
6072018,2667437,AutoPark,5266.002
7072018,2667437,AutoPark,5705.7
8072018,2667437,AutoPark,4974.2
9072018,2667437,AutoPark,4681.6
10072018,2667437,AutoPark,4974.2
11072018,2667437,AutoPark,4512.5038
12072018,2667437,AutoPark,4915.3475
13072018,2667437,AutoPark,4522
14072018,2667437,AutoPark,4256
15072018,2667437,AutoPark,4256
16072018,2667437,AutoPark,4522
17072018,2667437,AutoPark,4389
18072018,2667437,AutoPark,4384.6775
19072018,2667437,AutoPark,4256
20072018,2667437,AutoPark,4788
21072018,2667437,AutoPark,4256
22072018,2667437,AutoPark,4389
23072018,2667437,AutoPark,4522
24072018,2667437,AutoPark,4522
25072018,2667437,AutoPark,4655
26072018,2667437,AutoPark,5187
27072018,2667437,AutoPark,4788
28072018,2667437,AutoPark,4921
29072018,2667437,AutoPark,4875.1017
30072018,2667437,AutoPark,5048.015
31072018,2667437,AutoPark,4522
1082018,2667437,AutoPark,5047.35
2082018,2667437,AutoPark,4522
3082018,2667437,AutoPark,4788
4082018,2667437,AutoPark,4921
5082018,2667437,AutoPark,4788
6082018,2667437,AutoPark,5054
7082018,2667437,AutoPark,4921
8082018,2667437,AutoPark,4389
9082018,2667437,AutoPark,4389
10082018,2667437,AutoPark,4522
11082018,2667437,AutoPark,4921
12082018,2667437,AutoPark,5054
13082018,2667437,AutoPark,4389
14082018,2667437,AutoPark,4389
15082018,2667437,AutoPark,4512.5038
16082018,2667437,AutoPark,4921
17082018,2667437,AutoPark,4921
18082018,2667437,AutoPark,4788
19082018,2667437,AutoPark,4788
20082018,2667437,AutoPark,4655
21082018,2667437,AutoPark,4389
22082018,2667437,AutoPark,4788
23082018,2667437,AutoPark,4522
24082018,2667437,AutoPark,4788
25082018,2667437,AutoPark,4921
26082018,2667437,AutoPark,4620.5264
27082018,2667437,AutoPark,4921
28082018,2667437,AutoPark,4788
29082018,2667437,AutoPark,4788
30082018,2667437,AutoPark,4522
31082018,2667437,AutoPark,4788
1092018,2667437,AutoPark,5320
2092018,2667437,AutoPark,4921
3092018,2667437,AutoPark,4788
4092018,2667437,AutoPark,4620.5264
5092018,2667437,AutoPark,4788
6092018,2667437,AutoPark,4788
7092018,2667437,AutoPark,5054
8092018,2667437,AutoPark,5212.004
9092018,2667437,AutoPark,5054
10092018,2667437,AutoPark,4921
11092018,2667437,AutoPark,4921
12092018,2667437,AutoPark,5054
13092018,2667437,AutoPark,5054
14092018,2667437,AutoPark,5187
15092018,2667437,AutoPark,5054
16092018,2667437,AutoPark,5187
17092018,2667437,AutoPark,4788
18092018,2667437,AutoPark,4921
19092018,2667437,AutoPark,4921
20092018,2667437,AutoPark,5320
21092018,2667437,AutoPark,4921
22092018,2667437,AutoPark,4921
23092018,2667437,AutoPark,5054
24092018,2667437,AutoPark,5054
25092018,2667437,AutoPark,4651.0366
26092018,2667437,AutoPark,5005.4018
